symbol,date,open,high,low,close,volume,adjclose,dividends,splits,weekday,yearday
TOTS3.SA,2018-12-11,9.385499954223633,9.568486213684082,9.385499954223633,9.51858139038086,1061913.0,9.150928497314453,0.0,0.0,0.16666666666666666,0.9476584022038568
TOTS3.SA,2018-12-12,9.57846736907959,9.57846736907959,9.209169387817383,9.315632820129395,1360079.0,8.955819129943848,0.0,0.0,0.3333333333333333,0.9504132231404959
TOTS3.SA,2018-12-13,9.315632820129395,9.448714256286621,9.315632820129395,9.432079315185547,1026747.0,9.067769050598145,0.0,0.0,0.5,0.953168044077135
TOTS3.SA,2018-12-14,9.315632820129395,9.448714256286621,9.315632820129395,9.432079315185547,1026747.0,9.067769050598145,0.0,0.0,0.5,0.953168044077135
TOTS3.SA,2018-12-16,9.432079315185547,9.525235176086426,9.259074211120605,9.315632820129395,1286439.0,8.955819129943848,0.0,0.0,1.0,0.9614325068870524
TOTS3.SA,2018-12-17,9.318960189819336,9.345576286315918,9.112685203552246,9.112685203552246,1346854.0,8.760709762573242,0.0,0.0,0.0,0.9641873278236914
TOTS3.SA,2018-12-18,9.125992774963379,9.292344093322754,9.102704048156738,9.232458114624023,1378113.0,8.875856399536133,0.0,0.0,0.16666666666666666,0.9669421487603306
TOTS3.SA,2018-12-19,9.3921537399292,9.425424575805664,9.052799224853516,9.325613975524902,3127430.0,8.965414047241211,0.0,0.0,0.3333333333333333,0.9696969696969697
TOTS3.SA,2018-12-20,9.44538688659668,9.44538688659668,8.982932090759277,8.982932090759277,1926653.0,8.635969161987305,0.0,0.0,0.5,0.9724517906336089
TOTS3.SA,2018-12-21,9.44538688659668,9.44538688659668,8.982932090759277,8.982932090759277,1926653.0,8.635969161987305,0.0,0.0,0.5,0.9724517906336089
TOTS3.SA,2018-12-24,9.44538688659668,9.44538688659668,8.982932090759277,8.982932090759277,1926653.0,8.635969161987305,0.0,0.0,0.5,0.9724517906336089
TOTS3.SA,2018-12-25,8.989585876464844,9.132646560668945,8.836543083190918,9.096050262451172,664560.0,8.744717597961426,0.0,0.0,0.16666666666666666,0.9862258953168044
TOTS3.SA,2018-12-26,9.232458114624023,9.23911190032959,8.943008422851562,8.956315994262695,572585.0,8.610380172729492,0.0,0.0,0.3333333333333333,0.9889807162534435
TOTS3.SA,2018-12-27,9.05612564086914,9.122666358947754,8.903083801269531,9.0328369140625,1033359.0,8.68394660949707,0.0,0.0,0.5,0.9917355371900827
TOTS3.SA,2018-12-28,9.05612564086914,9.122666358947754,8.903083801269531,9.0328369140625,1033359.0,8.68394660949707,0.0,0.0,0.5,0.9917355371900827
TOTS3.SA,2018-12-31,9.05612564086914,9.122666358947754,8.903083801269531,9.0328369140625,1033359.0,8.68394660949707,0.0,0.0,0.5,0.9917355371900827
TOTS3.SA,2019-01-01,9.00954818725586,9.57846736907959,9.002894401550293,9.531888961791992,2393739.0,9.190736770629883,0.026551,0.0,0.16666666666666666,0.0
TOTS3.SA,2019-01-02,9.65831470489502,9.758126258850098,9.491965293884277,9.751472473144531,2300262.0,9.40246295928955,0.0,0.0,0.3333333333333333,0.0027548209366391185
TOTS3.SA,2019-01-03,9.758126258850098,10.147385597229004,9.51858139038086,10.020959854125977,1551542.0,9.662303924560547,0.0,0.0,0.5,0.005509641873278237
TOTS3.SA,2019-01-04,9.758126258850098,10.147385597229004,9.51858139038086,10.020959854125977,1551542.0,9.662303924560547,0.0,0.0,0.5,0.005509641873278237
TOTS3.SA,2019-01-06,10.137405395507812,10.147385597229004,9.581793785095215,9.804703712463379,1678683.0,9.453788757324219,0.0,0.0,1.0,0.013774104683195593
TOTS3.SA,2019-01-07,9.751472473144531,9.857935905456543,9.405462265014648,9.405462265014648,2821450.0,9.068836212158203,0.0,0.0,0.0,0.01652892561983471
