,symbol,date,open,high,low,close,volume,adjclose,weekday,dividends,splits
223,VSPT3.SA,2023-05-19,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
224,VSPT3.SA,2023-05-22,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
225,VSPT3.SA,2023-05-23,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
226,VSPT3.SA,2023-05-24,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
227,VSPT3.SA,2023-05-25,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
228,VSPT3.SA,2023-05-26,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
229,VSPT3.SA,2023-05-30,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
230,VSPT3.SA,2023-05-31,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
231,VSPT3.SA,2023-06-01,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
232,VSPT3.SA,2023-06-02,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
233,VSPT3.SA,2023-06-05,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
234,VSPT3.SA,2023-06-06,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
235,VSPT3.SA,2023-06-07,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
236,VSPT3.SA,2023-06-09,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
237,VSPT3.SA,2023-06-12,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
238,VSPT3.SA,2023-06-13,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
239,VSPT3.SA,2023-06-14,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
240,VSPT3.SA,2023-06-15,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
